Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,357.910004,365.079987,352.559998,360.750000,360.750000,2184182600
2011-02-01,363.029999,374.190002,361.920013,369.130005,369.130005,2070796600
2011-03-01,370.690002,372.200012,343.200012,365.619995,365.619995,1759110400
2011-04-01,367.470001,371.100006,350.790009,359.940002,359.940002,1546362600
2011-05-01,362.260010,363.309998,340.329987,349.440002,349.440002,1982653400
2011-06-01,350.290009,350.380005,326.859985,339.649994,339.649994,1976857800
2011-07-01,340.130005,347.010010,323.059998,329.220001,329.220001,1956299600
2011-08-01,333.630005,333.730011,265.850006,292.929993,292.929993,3369093000
2011-09-01,294.339996,295.809998,256.359985,280.179993,280.179993,2760035400
2011-10-01,273.510010,318.179993,266.130005,307.500000,307.500000,2460327600
2011-11-01,301.019989,308.190002,268.739990,299.679993,299.679993,2646724000
2011-12-01,300.140015,312.470001,291.350006,312.470001,312.470001,1820770200
2012-01-01,317.559998,323.829987,305.549988,318.470001,318.470001,2162293800
2012-02-01,319.959991,333.079987,319.609985,324.250000,324.250000,2052318400
2012-03-01,323.809998,337.200012,316.670013,323.510010,323.510010,2125764200
2012-04-01,324.209991,327.230011,299.920013,308.299988,308.299988,2257054000
2012-05-01,311.820007,312.299988,286.890015,290.089996,290.089996,2228843400
2012-06-01,291.209991,307.809998,281.000000,307.309998,307.309998,2469729800
2012-07-01,307.410004,329.459991,306.470001,326.470001,326.470001,2145482000
2012-08-01,327.000000,336.690002,321.769989,329.279999,329.279999,2026035400
2012-09-01,328.570007,340.220001,323.179993,323.179993,323.179993,1934381600
2012-10-01,322.190002,336.540009,321.829987,330.760010,330.760010,1860094400
2012-11-01,330.500000,339.459991,319.750000,336.549988,336.549988,1874099800
2012-12-01,337.170013,346.859985,336.630005,342.709991,342.709991,1396944200
2013-01-01,348.529999,358.920013,346.049988,354.350006,354.350006,2024688000
2013-02-01,354.420013,356.880005,332.989990,340.529999,340.529999,2159438000
2013-03-01,339.709991,356.160004,336.500000,348.100006,348.100006,2008844600
2013-04-01,347.779999,355.010010,337.940002,351.390015,351.390015,2585405000
2013-05-01,351.519989,373.309998,351.220001,363.380005,363.380005,2769649400
2013-06-01,361.269989,364.920013,330.980011,344.589996,344.589996,2550286000
2013-07-01,345.910004,373.130005,342.799988,369.809998,369.809998,2743390400
2013-08-01,370.200012,380.179993,362.329987,362.929993,362.929993,2870441900
2013-09-01,366.309998,385.899994,365.160004,374.920013,374.920013,2193656100
2013-10-01,373.940002,393.040009,366.059998,391.920013,391.920013,2093976100
2013-11-01,392.500000,398.589996,388.429993,396.549988,396.549988,1987060800
2013-12-01,396.619995,401.950012,375.899994,401.790009,401.790009,1487431000
2014-01-01,403.369995,408.929993,381.720001,386.850006,386.850006,2412696300
2014-02-01,385.859985,402.459991,379.510010,398.540009,398.540009,2132677200
2014-03-01,392.140015,405.089996,379.799988,403.209991,403.209991,2239649400
2014-04-01,404.829987,408.420013,391.290009,400.549988,400.549988,1701391900
2014-05-01,400.049988,408.339996,392.720001,407.209991,407.209991,1587427100
2014-06-01,408.600006,419.570007,406.500000,413.149994,413.149994,1480473600
2014-07-01,413.799988,419.940002,401.559998,404.290009,404.290009,1746853500
